state,value,id
Algeria,100,12
Angola,33,24
Argentina,96,32
Bahrain,100,48
Bangladesh,62,50
Benin,29,204
Bolivia,89,68
Botswana,53,72
Brazil,100,76
Brunei,100,96
Burkina Faso,18,854
Burundi,5,108
Cabo Verde,96,132
Cambodia,34,116
Cameroon,62,120
Central African Republic,3,140
Chad,4,148
China,100,156
Colombia,98,170
Comoros,69,174
Congo,42,178
Costa Rica,100,188
Côte d'Ivoire,62,384
Cuba,98,192
Democratic Republic of Congo,18,180
Djibouti,42,262
Dominican Republic,97,214
DPR Korea,26,408
Ecuador,97,218
Egypt,99,818
El Salvador,94,222
Equatorial Guinea,66,226
Eritrea,32,232
Ethiopia,25,231
Gabon,89,266
Gambia,45,270
Ghana,72,288
Guatemala,90,320
Guinea,26,324
Guinea-Bissau,21,624
Haiti,29,332
Honduras,89,340
India,81,356
Indonesia,84,360
Iran,99,364
Iraq,98,368
Jamaica,93,388
Jordan,100,400
Kenya,20,404
Kuwait,100,414
Laos,87,418
Lebanon,100,422
Lesotho,17,426
Liberia,10,430
Libya,100,434
Madagascar,13,450
Malawi,12,454
Malaysia,100,458
Mali,26,466
Mauritania,29,478
Mauritius,100,480
Mongolia,90,496
Morocco,99,504
Mozambique,40,508
Myanmar,32,104
Namibia,32,516
Nepal,76,524
Nicaragua,76,558
Niger,15,562
Nigeria,45,566
Oman,98,512
Pakistan,73,586
Panama,91,591
Paraguay,99,600
Peru,90,604
Philippines,89,608
Qatar,100,634
Réunion,99,0
Rwanda,27,646
Sao Tome and Principe,59,678
Saudi Arabia,99,682
Senegal,61,686
Seychelles,98,690
Sierra Leone,14,694
Singapore,100,702
Somalia,15,706
South Africa,86,710
South Sudan,1,0
Sri Lanka,99,144
Sudan,40,736
Swaziland,65,748
Syria,93,760
Tanzania,30,834
Thailand,99,764
Togo,27,768
Trinidad and Tobago,97,780
Tunisia,100,788
Uganda,19,800
United Arab Emirates,100,784
Uruguay,99,858
Venezuela,100,862
Vietnam,98,704
Yemen,46,887
Zambia,28,894
Zimbabwe,52,716
